Unit Name,Gas Meters,Date,Gas Volume,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/1/19,"1,725.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/1/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/1/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/1/19,"1,816.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/1/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/2/19,"4,643.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/2/19,"6,843.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/2/19,"3,529.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/2/19,"1,479.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/2/19,869.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/2/19,"1,335.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/2/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/2/19,"1,017.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/2/19,"1,388.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/2/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/2/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/2/19,"1,383.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/2/19,"1,831.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/2/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/2/19,"1,197.00",,,,,,,
FWU #602,FWU #602 GL METER,6/2/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/2/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/2/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/2/19,"1,735.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/2/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/2/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/2/19,"1,830.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/2/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/3/19,"3,541.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/3/19,"6,541.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/3/19,"2,569.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/3/19,"1,004.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/3/19,834.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/3/19,"1,238.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/3/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/3/19,988.00,,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/3/19,"1,113.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/3/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/3/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/3/19,"1,333.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/3/19,"1,717.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/3/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/3/19,"1,021.00",,,,,,,
FWU #602,FWU #602 GL METER,6/3/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/3/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/3/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/3/19,"1,060.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/3/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/3/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/3/19,"1,765.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/3/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/4/19,"3,207.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/4/19,"6,442.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/4/19,"3,688.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/4/19,845.00,,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/4/19,817.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/4/19,"1,209.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/4/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/4/19,958.00,,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/4/19,"1,059.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/4/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/4/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/4/19,"1,319.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/4/19,"1,711.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/4/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/4/19,983.00,,,,,,,
FWU #602,FWU #602 GL METER,6/4/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/4/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/4/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/4/19,"1,041.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/4/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/4/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/4/19,"1,740.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/4/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/5/19,"5,109.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/5/19,"7,146.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/5/19,"3,699.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/5/19,"1,631.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/5/19,870.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/5/19,"1,382.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/5/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/5/19,"1,028.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/5/19,"1,546.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/5/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/5/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/5/19,"1,419.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/5/19,"2,021.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/5/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/5/19,"1,188.00",,,,,,,
FWU #602,FWU #602 GL METER,6/5/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/5/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/5/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/5/19,"1,034.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/5/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/5/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/5/19,"1,848.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/5/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/6/19,"4,379.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/6/19,"6,948.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/6/19,"1,250.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/6/19,"1,765.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/6/19,893.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/6/19,"1,442.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/6/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/6/19,"1,084.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/6/19,"1,620.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/6/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/6/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/6/19,"1,453.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/6/19,"2,196.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/6/19,12.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/6/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/6/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/6/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/6/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/6/19,"1,732.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/6/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/6/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/6/19,"1,888.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/6/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/7/19,"2,536.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/7/19,"7,444.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/7/19,"3,446.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/7/19,"1,874.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/7/19,895.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/7/19,"1,433.00",,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/7/19,"1,054.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/7/19,"1,568.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/7/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/7/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/7/19,"1,465.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/7/19,"2,227.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/7/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/7/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/7/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/7/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/7/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/7/19,"1,796.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/7/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/7/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/7/19,"1,902.00",,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/8/19,"2,074.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/8/19,"6,805.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/8/19,"3,251.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/8/19,"1,297.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/8/19,844.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/8/19,"1,313.00",,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/8/19,994.00,,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/8/19,"1,242.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/8/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/8/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/8/19,"1,387.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/8/19,"2,092.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/8/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/8/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/8/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/8/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/8/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/8/19,"1,687.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/8/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/8/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/8/19,"1,814.00",,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/9/19,"4,269.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/9/19,"8,220.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/9/19,"3,691.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/9/19,"1,592.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/9/19,907.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/9/19,"1,502.00",,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/9/19,"1,075.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/9/19,"1,724.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/9/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/9/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/9/19,"1,474.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/9/19,"2,476.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/9/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/9/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/9/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/9/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/9/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/9/19,"1,772.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/9/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/9/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/9/19,"1,920.00",,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/10/19,"4,425.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/10/19,"8,178.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/10/19,"3,301.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/10/19,"1,911.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/10/19,925.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/10/19,"1,538.00",,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/10/19,"1,089.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/10/19,"1,744.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/10/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/10/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/10/19,"1,489.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/10/19,"2,576.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/10/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/10/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/10/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/10/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/10/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/10/19,"1,798.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/10/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/10/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/10/19,"1,947.00",,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/11/19,"3,514.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/11/19,"7,502.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/11/19,"3,596.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/11/19,"1,640.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/11/19,892.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/11/19,"1,448.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/11/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/11/19,"1,049.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/11/19,"1,507.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/11/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/11/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/11/19,"1,448.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/11/19,"2,504.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/11/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/11/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/11/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/11/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/11/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/11/19,"1,765.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/11/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/11/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/11/19,"1,892.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/11/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/12/19,"4,269.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/12/19,"8,061.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/12/19,"3,499.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/12/19,"1,794.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/12/19,907.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/12/19,"1,498.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/12/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/12/19,"1,072.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/12/19,"1,650.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/12/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/12/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/12/19,"1,463.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/12/19,"2,617.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/12/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/12/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/12/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/12/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/12/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/12/19,"1,756.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/12/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/12/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/12/19,"1,920.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/12/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/13/19,"3,625.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/13/19,"7,573.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/13/19,"3,810.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/13/19,"1,641.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/13/19,887.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/13/19,"1,447.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/13/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/13/19,"1,048.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/13/19,927.00,,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/13/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/13/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/13/19,"1,441.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/13/19,"2,565.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/13/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/13/19,0.00,,,,,,,
FWU #602,FWU #602 GL METER,6/13/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/13/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/13/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,6/13/19,"1,750.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,6/13/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,6/13/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,6/13/19,"1,888.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,6/13/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/14/19,"2,200.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/14/19,"7,039.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/14/19,"3,333.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/14/19,"1,090.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/14/19,841.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/14/19,"1,324.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/14/19,0.00,,,,,,,
